Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2ddab653-6706-44e9-82cf-67e4a87c64bf,2020-02-11 12:08:52,Running,,2.34,13:05,5:36,10.71,226.0,29,,"","",2020-02-11-120852.gpx
f40e0a48-c813-43cb-8d5d-40c926d603cb,2020-02-10 11:05:37,Running,,5.01,29:20,5:52,10.24,473.0,33,,"","",2020-02-10-110537.gpx
e511da82-4059-4da8-8450-58ca58f75b1c,2020-02-09 12:49:35,Running,,5.01,27:39,5:32,10.86,477.0,46,,"","",2020-02-09-124935.gpx
4f5060d3-ac02-44d6-bd92-a3106bb0559c,2020-02-08 15:26:58,Running,,5.01,27:42,5:32,10.84,469.0,40,,"","",2020-02-08-152658.gpx
4d5c7626-e271-49a7-8b3a-90854a210b85,2020-02-06 14:14:24,Running,,4.01,23:00,5:45,10.45,379.0,30,,"","",2020-02-06-141424.gpx
8f31e193-ec14-4ae8-b67c-fc60bf89a800,2020-02-05 11:38:41,Running,,3.01,15:28,5:09,11.65,284.0,21,,"","",2020-02-05-113841.gpx
f331a902-98cb-465d-a0dd-19856292043b,2020-02-04 13:10:35,Running,,6.50,36:47,5:40,10.59,617.0,55,,"","",2020-02-04-131035.gpx
1da4e425-c5d4-4731-ace2-134627af39d6,2020-02-03 12:30:39,Running,,7.25,40:43,5:37,10.68,560.0,56,,"","",2020-02-03-123039.gpx
ae2b0422-e20f-42af-8bae-dd6a0726b95b,2020-01-30 11:24:27,Running,,4.02,21:19,5:18,11.32,312.0,33,,"","",2020-01-30-112427.gpx
61e4cc5e-85c6-4d00-82c3-fc9531d3a96d,2020-01-29 11:43:50,Running,,3.63,19:58,5:30,10.90,279.0,25,,"","",2020-01-29-114350.gpx
2e99d8a2-0580-41b0-bce7-78b0bd0e2edc,2020-01-27 12:39:25,Running,,2.71,14:55,5:30,10.90,212.0,30,,"","",2020-01-27-123925.gpx
c5e379a2-38f6-454a-8a28-3c900d594bf8,2020-01-25 14:57:04,Running,,4.01,23:08,5:47,10.39,308.0,29,,"","",2020-01-25-145704.gpx
2078549e-2969-4e4f-873b-e3d006112697,2020-01-24 12:49:45,Running,,4.01,23:03,5:45,10.42,309.0,31,,"","",2020-01-24-124945.gpx
6b926f59-7f38-4fa2-bbe9-ece3cae41aed,2020-01-23 12:25:51,Running,,5.01,29:21,5:52,10.23,384.0,32,,"","",2020-01-23-122551.gpx
7512c9e3-2e3f-4b6c-96a3-e95d3f4d2cc7,2020-01-19 12:54:29,Running,,13.73,1:22:06,5:59,10.03,1067.0,117,,"","",2020-01-19-125429.gpx
25f2ff45-cfdd-4ff2-858b-d31d59ca1217,2020-01-18 14:26:13,Running,,2.31,12:07,5:15,11.43,178.0,18,,"","",2020-01-18-142613.gpx
f54c3acf-0a69-4c4c-8713-544aeddfc454,2020-01-17 12:10:24,Running,,3.00,16:08,5:23,11.14,227.0,15,,"","",2020-01-17-121024.gpx
d067ba05-9d0d-4711-a8ea-0a9a13824388,2020-01-16 15:46:35,Running,,3.15,17:28,5:33,10.82,243.0,25,,"","",2020-01-16-154635.gpx
f7a80e21-4bd2-4311-aea7-131102dda1f9,2020-01-15 12:00:44,Running,,3.13,17:42,5:39,10.60,239.0,21,,"","",2020-01-15-120044.gpx
59b8243e-935a-41d0-9b24-907530ee8f22,2020-01-14 14:30:57,Running,,2.15,11:20,5:16,11.39,166.0,19,,"","",2020-01-14-143057.gpx
0d69bb0f-59c3-4401-9a92-c64629a4aa48,2020-01-11 11:58:28,Running,,2.35,12:36,5:21,11.20,181.0,17,,"","",2020-01-11-115828.gpx
961d9754-1d1f-4475-82fd-aec5472ca530,2020-01-10 12:49:22,Running,,3.01,16:41,5:33,10.81,230.0,18,,"","",2020-01-10-124922.gpx
e01b7ec1-dc8b-4b61-8b27-c4dac5d938b8,2020-01-09 14:11:05,Running,,3.66,20:32,5:37,10.68,290.0,51,,"","",2020-01-09-141105.gpx
dc455d18-d908-434c-8af9-4dc96e75fd34,2020-01-08 13:00:51,Running,,0.44,1:51,4:16,14.06,32.0,1,,"","",2020-01-08-130051.gpx
51354852-c7e5-46bb-adb4-d819e7abe094,2020-01-08 12:37:55,Running,,3.43,19:22,5:39,10.63,265.0,27,,"","",2020-01-08-123755.gpx
32f111c0-0cb5-4114-a75a-6848633ccea9,2020-01-07 15:38:08,Running,,3.71,20:05,5:25,11.06,285.0,25,,"","",2020-01-07-153808.gpx
d75960f1-c4be-4738-bb73-8321857c6cf7,2020-01-04 12:10:42,Running,,2.83,16:08,5:42,10.53,215.0,14,,"","",2020-01-04-121042.gpx
a7ca6ba6-1644-4bae-ae31-7ea6ef951f90,2020-01-03 12:12:12,Running,,6.16,33:19,5:25,11.09,466.0,42,,"","",2020-01-03-121212.gpx
ffb7587a-a30e-4d4b-a317-8d40a0e3b715,2020-01-02 14:20:42,Running,,2.65,13:57,5:16,11.40,205.0,19,,"","",2020-01-02-142042.gpx
2a7ef6bc-392e-4fcf-9410-7cf87819ff13,2019-12-28 13:49:27,Running,,2.94,15:57,5:26,11.04,226.0,22,,"","",2019-12-28-134927.gpx
7761591a-b452-4bb2-9669-594cd55bc531,2019-12-27 12:27:03,Running,,3.05,16:56,5:33,10.81,235.0,21,,"","",2019-12-27-122703.gpx
da1af848-a7ca-404a-8551-829ff63f0d8f,2019-12-26 14:17:04,Running,,2.02,10:37,5:15,11.42,157.0,18,,"","",2019-12-26-141704.gpx
69d72c93-b84d-4932-ba42-61fcc53d738d,2019-12-25 12:39:55,Running,,2.37,13:16,5:37,10.69,183.0,19,,"","",2019-12-25-123955.gpx
158f5644-a68f-43b2-b279-aecfdba20590,2019-12-24 13:36:22,Running,,3.10,17:05,5:31,10.89,239.0,22,,"","",2019-12-24-133622.gpx
724c8bdb-8e6d-407d-a876-592fe811da47,2019-12-16 11:40:02,Running,,1.87,10:32,5:39,10.63,145.0,17,,"","",2019-12-16-114002.gpx
f99bb3d1-9d21-4d81-908e-cb0abc716fdc,2019-12-13 12:06:17,Running,,2.27,12:53,5:40,10.57,175.0,17,,"","",2019-12-13-120617.gpx
011cebbc-e7cb-4338-9d22-74fb2c066125,2019-12-10 12:48:54,Running,,2.26,11:53,5:15,11.41,173.0,19,,"","",2019-12-10-124854.gpx
55afad3d-ff41-4ecc-98df-e4b9bd8c82d4,2019-12-09 13:09:22,Running,,1.53,8:05,5:19,11.30,118.0,12,,"","",2019-12-09-130922.gpx
13686142-bc0c-4a63-a415-f8d0a48eff14,2019-12-08 13:14:22,Running,,2.41,13:16,5:31,10.89,186.0,19,,"","",2019-12-08-131422.gpx
